2018-02,South Carolina,5080,334,12843,6512,862,536,0,21,12,1,1498,937,2,150,135,0,0,0,29,15,0,1,0,0,28968
2018-02,South Dakota,835,0,2844,3476,232,203,0,1,1,1,219,255,1,0,0,0,0,0,3,13,2,0,0,0,8086
2018-02,Tennessee,16709,0,31159,16929,1818,0,0,0,0,0,0,0,0,37,7,8,0,0,0,0,0,0,0,0,66667
2018-02,Texas,36801,0,55634,35889,4158,3712,3496,91,44,8,9789,5971,47,61,5,0,0,0,124,92,16,2,2,0,155942
2018-02,Utah,12863,91,4175,4055,425,0,0,2,1,0,350,478,0,125,38,29,0,0,0,0,0,0,0,0,22632
2018-02,Vermont,0,0,1876,1708,160,108,4,0,0,0,3,2,1,0,0,0,0,0,4,4,0,0,0,0,3870
2018-02,Virgin Islands,3,0,30,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
2018-02,Virginia,1474,2,26596,15770,3483,0,0,0,0,0,0,0,0,45,14,1,0,0,0,0,0,0,0,0,47385
2018-02,Washington,15794,109,17287,11842,2605,845,2,11,12,2,1729,1391,7,423,129,9,0,0,940,708,53,8,9,0,53915
2018-02,West Virginia,3739,0,8193,6582,424,702,3,17,27,0,1581,1976,2,6,0,0,0,0,60,29,3,0,0,0,23344
2018-02,Wisconsin,14483,0,15379,11979,1187,73,0,0,1,7,184,328,9,87,37,2,0,0,0,21,0,0,0,0,43777
2018-02,Wyoming,504,15,1851,1916,142,122,13,3,9,0,192,272,1,0,0,0,0,0,8,7,1,0,1,0,5057
